DATA,V,ANG,TEMP,DENS,PRES
2018-11-06 00:00:00,10.3,123,20.1,1.13,947.8
2018-11-06 01:00:00,9.8,125,19.8,1.13,947.6
2018-11-06 02:00:00,9.5,127,19.6,1.13,947.5
2018-11-06 03:00:00,9.2,130,19.4,1.13,947.4
2018-11-06 04:00:00,8.9,132,19.3,1.13,947.8
2018-11-06 05:00:00,8.7,134,19.3,1.13,948.1
2018-11-06 06:00:00,8.3,136,19.3,1.13,948.4
2018-11-06 07:00:00,7.9,132,20.4,1.13,948.7
2018-11-06 08:00:00,8.6,123,21.7,1.12,948.8
2018-11-06 09:00:00,8.8,117,23.0,1.12,948.9
2018-11-06 10:00:00,8.6,113,24.1,1.11,948.5
2018-11-06 11:00:00,8.4,110,25.0,1.11,948.0
2018-11-06 12:00:00,8.5,109,25.8,1.1,947.6
2018-11-06 13:00:00,8.8,108,26.0,1.1,947.2
2018-11-06 14:00:00,9.2,107,26.1,1.1,946.8
2018-11-06 15:00:00,9.4,107,26.0,1.1,946.5
2018-11-06 16:00:00,9.7,108,25.7,1.1,946.8
2018-11-06 17:00:00,10.3,105,25.1,1.11,947.1
2018-11-06 18:00:00,10.4,105,24.2,1.11,947.5
2018-11-06 19:00:00,11.0,106,23.1,1.12,947.9
2018-11-06 20:00:00,10.8,111,22.2,1.12,948.2
2018-11-06 21:00:00,10.1,113,21.6,1.12,948.7
2018-11-06 22:00:00,10.1,116,21.0,1.12,948.5
2018-11-06 23:00:00,10.2,119,20.5,1.13,948.3
2018-11-07 00:00:00,10.4,122,20.1,1.13,948.1
2018-11-07 01:00:00,10.2,125,19.8,1.13,947.9
2018-11-07 02:00:00,9.7,127,19.6,1.13,947.7
2018-11-07 03:00:00,9.1,128,19.4,1.13,947.6
2018-11-07 04:00:00,8.7,129,19.3,1.13,948.1
2018-11-07 05:00:00,8.4,130,19.3,1.13,948.5
2018-11-07 06:00:00,8.2,133,19.4,1.13,948.8
2018-11-07 07:00:00,7.8,130,20.5,1.13,949.1
2018-11-07 08:00:00,8.9,120,22.2,1.12,949.3
2018-11-07 09:00:00,9.3,113,23.7,1.11,949.5
2018-11-07 10:00:00,9.3,111,24.8,1.11,949.0
2018-11-07 11:00:00,9.0,108,25.7,1.11,948.5
2018-11-07 12:00:00,8.9,106,26.5,1.1,948.0
2018-11-07 13:00:00,8.8,105,26.8,1.1,947.6
2018-11-07 14:00:00,8.8,104,26.8,1.1,947.3
2018-11-07 15:00:00,8.8,103,26.6,1.1,947.0
2018-11-07 16:00:00,8.9,102,26.1,1.1,947.3
2018-11-07 17:00:00,9.2,100,25.5,1.11,947.7
2018-11-07 18:00:00,9.6,94,24.4,1.11,948.1
2018-11-07 19:00:00,10.1,96,23.2,1.12,948.6
2018-11-07 20:00:00,10.1,101,22.4,1.12,948.9
2018-11-07 21:00:00,10.2,107,21.7,1.12,949.3
2018-11-07 22:00:00,9.8,111,21.1,1.12,949.1
2018-11-07 23:00:00,9.8,115,20.7,1.13,948.9
2018-11-08 00:00:00,9.6,120,20.2,1.13,948.7
2018-11-08 01:00:00,9.3,122,19.9,1.13,948.4
2018-11-08 02:00:00,9.1,124,19.7,1.13,948.2
2018-11-08 03:00:00,9.0,125,19.5,1.13,948.0
2018-11-08 04:00:00,8.9,127,19.5,1.13,948.4
2018-11-08 05:00:00,8.9,128,19.4,1.13,948.7
2018-11-08 06:00:00,8.6,130,19.5,1.13,949.0
2018-11-08 07:00:00,7.8,129,20.6,1.13,949.3
2018-11-08 08:00:00,9.2,118,22.3,1.12,949.4
2018-11-08 09:00:00,9.9,113,23.7,1.11,949.6
2018-11-08 10:00:00,9.8,110,24.7,1.11,949.1
2018-11-08 11:00:00,9.8,107,25.7,1.11,948.6
2018-11-08 12:00:00,9.6,105,26.3,1.1,948.1
2018-11-08 13:00:00,9.8,106,26.5,1.1,947.7
2018-11-08 14:00:00,9.8,106,26.6,1.1,947.4
2018-11-08 15:00:00,9.9,108,26.4,1.1,947.1
2018-11-08 16:00:00,10.1,110,26.1,1.1,947.3
2018-11-08 17:00:00,10.1,108,25.5,1.11,947.6
2018-11-08 18:00:00,10.0,105,24.3,1.11,948.0
